Column1,Column2,Column3,AVG_accuracy,AVG_loss,interval_accuracy,interval_loss
15,30,1.61,0.671698666,1.34678421,0.196551237,0.386380815
16,32,1.61,0.674373031,1.270752788,0.060971577,0.253205598
17,34,1.61,0.689826608,1.186178184,0.146936389,0.276686766
18,36,1.61,0.706774092,1.127660608,0.104953156,0.290684324
19,38,1.61,0.699784482,1.078802323,0.127910019,0.300607557
20,40,1.61,0.716325426,1.01802671,0.093602384,0.26663845
21,42,1.61,0.727884996,0.962201989,0.058171366,0.175564141
22,44,1.61,0.717442191,0.950115657,0.130825668,0.356564785
23,46,1.61,0.742045438,0.885932708,0.047169384,0.181313355
24,48,1.61,0.740576005,0.872402143,0.112767264,0.304214203
25,50,1.61,0.751337194,0.832753813,0.028284024,0.120941606
26,52,1.61,0.74585129,0.829397619,0.043095699,0.119221925
27,54,1.61,0.756338179,0.792663991,0.038189786,0.131734046
28,56,1.61,0.762955534,0.774111879,0.041739198,0.126449231
29,58,1.61,0.768323863,0.756791139,0.01492546,0.05123541
30,60,1.61,0.765071523,0.755906403,0.014139738,0.030444294
31,62,1.61,0.774951005,0.725932145,0.036331842,0.10592121
32,64,1.61,0.768064272,0.740582132,0.054009663,0.130515214
33,66,1.61,0.77977078,0.711319029,0.042687101,0.115904659
34,68,1.61,0.779770768,0.703732383,0.034044457,0.089181691
35,70,1.61,0.784296632,0.688544559,0.049650003,0.113277336
36,72,1.61,0.788646162,0.677044797,0.020052142,0.056229301
37,74,1.61,0.78539381,0.682533562,0.035007726,0.101030056
38,76,1.61,0.797658706,0.649390972,0.026187415,0.069937098
39,78,1.61,0.79551332,0.654573643,0.013161488,0.026380875
40,80,1.61,0.798143613,0.644188464,0.033544741,0.086232516
41,82,1.61,0.803477669,0.63251096,0.033558754,0.100639593
42,84,1.61,0.799284875,0.641424513,0.032497494,0.081615936
43,86,1.61,0.801244128,0.637992239,0.01970499,0.048011619
44,88,1.61,0.801645768,0.634641266,0.023731567,0.07117972
45,90,1.61,0.811824071,0.605905163,0.020796974,0.064335168
46,92,1.61,0.808850896,0.613315547,0.015747451,0.053875558
47,94,1.61,0.808400273,0.617619669,0.028029988,0.064022877
48,96,1.61,0.813783312,0.597750282,0.014998946,0.038353244
49,98,1.61,0.812681234,0.601833975,0.019883351,0.079686073
50,100,1.61,0.813073075,0.602493906,0.023814797,0.083098953
0,0,1.87,0.098168103,2.588787031,0.039070967,0.409874612
1,2,1.87,0.128786248,2.315765905,0.09589817,0.062251697
2,4,1.87,0.149422021,2.299939871,0.152605695,0.121185632
3,6,1.87,0.143064265,2.250947475,0.151199863,0.073768682
4,8,1.87,0.256078565,2.198807955,0.226169008,0.054334557
5,10,1.87,0.330123436,2.146036339,0.127981578,0.042864126
6,12,1.87,0.304261363,2.103874779,0.291637023,0.058220348
7,14,1.87,0.464753133,2.028097916,0.211054302,0.079958554
8,16,1.87,0.489282906,1.965302277,0.146993963,0.091976569
9,18,1.87,0.5257837,1.8785748,0.097206241,0.107784683
10,20,1.87,0.555123436,1.791219568,0.228524751,0.139273939
11,22,1.87,0.606778991,1.693902349,0.085860946,0.144991266
12,24,1.87,0.638337564,1.598445868,0.034204441,0.130109624
13,26,1.87,0.644107568,1.495543098,0.090101347,0.140937841
14,28,1.87,0.674133027,1.397186327,0.09507525,0.165878436
15,30,1.87,0.689958858,1.311664891,0.077694298,0.130920372
16,32,1.87,0.69835912,1.217719316,0.058448462,0.13613293
17,34,1.87,0.686779988,1.163274145,0.030750889,0.103378577
18,36,1.87,0.704986298,1.103438377,0.074953763,0.18675635
